review_id,doi,citation_count,citation_percentile,who_essential,nice_guideline_count,influence_score
CD013614,10.1002/14651858.CD013614.pub2,2,39.12175648702595,False,0,25.449101796407188
CD003774,10.1002/14651858.CD003774.pub5,13,88.32335329341318,False,0,43.26347305389221
CD001155,10.1002/14651858.CD001155.pub3,0,9.68063872255489,False,0,9.121756487025948
CD013366,10.1002/14651858.CD013366.pub2,10,82.83433133732535,False,0,40.47904191616767
CD007784,10.1002/14651858.CD007784.pub3,9,79.84031936127745,False,0,41.876247504990026
CD009362,10.1002/14651858.CD009362.pub4,5,63.57285429141717,False,0,26.76646706586827
CD011762,10.1002/14651858.CD011762.pub2,3,49.101796407185624,False,0,26.686626746506988
CD011535,10.1002/14651858.CD011535.pub7,1,26.34730538922156,False,0,18.16367265469062
CD001909,10.1002/14651858.CD001909.pub4,3,49.101796407185624,False,0,23.093812375249502
CD012712,10.1002/14651858.CD012712.pub2,10,82.83433133732535,True,0,61.427145708582835
CD009749,10.1002/14651858.CD009749.pub3,7,73.05389221556887,False,0,34.47105788423154
CD013071,10.1002/14651858.CD013071.pub2,15,91.81636726546905,False,0,45.20958083832335
CD013830,10.1002/14651858.CD013830.pub2,15,91.81636726546905,True,0,65.43912175648703
CD006257,10.1002/14651858.CD006257.pub2,10,82.83433133732535,False,0,40.91816367265469
CD016131,10.1002/14651858.CD016131,0,9.68063872255489,False,0,7.325349301397207
CD003598,10.1002/14651858.CD003598.pub3,2,39.12175648702595,False,0,25.309381237524953
CD002042,10.1002/14651858.CD002042.pub6,2,39.12175648702595,False,0,25.219560878243513
CD007026,10.1002/14651858.CD007026.pub7,10,82.83433133732535,False,0,35.83832335329341
CD011600,10.1002/14651858.CD011600.pub3,14,90.31936127744511,False,0,45.389221556886234
CD015536,10.1002/14651858.CD015536.pub2,0,9.68063872255489,False,0,9.121756487025948
CD013874,10.1002/14651858.CD013874.pub3,0,9.68063872255489,False,0,11.497005988023954
CD016211,10.1002/14651858.CD016211,0,9.68063872255489,False,0,12.165668662674651
CD014722,10.1002/14651858.CD014722.pub2,14,90.31936127744511,False,0,44.61077844311377
CD010290,10.1002/14651858.CD010290.pub4,2,39.12175648702595,False,0,23.433133732534934
CD006023,10.1002/14651858.CD006023.pub4,1,26.34730538922156,False,0,19.9500998003992
CD005133,10.1002/14651858.CD005133.pub4,0,9.68063872255489,False,0,9.121756487025948
CD003743,10.1002/14651858.CD003743.pub3,0,9.68063872255489,False,0,11.497005988023954
CD012426,10.1002/14651858.CD012426.pub2,0,9.68063872255489,False,0,5.908183632734531
CD003333,10.1002/14651858.CD003333.pub4,0,9.68063872255489,False,0,4.580838323353293
CD006536,10.1002/14651858.CD006536.pub5,0,9.68063872255489,False,0,12.86427145708583
CD013425,10.1002/14651858.CD013425.pub2,2,39.12175648702595,False,0,22.435129740518963
CD003376,10.1002/14651858.CD003376.pub4,1,26.34730538922156,False,0,15.179640718562876
CD013541,10.1002/14651858.CD013541.pub2,11,84.83033932135729,False,0,39.18163672654691
CD009298,10.1002/14651858.CD009298.pub3,0,9.68063872255489,False,0,13.742514970059881
CD005595,10.1002/14651858.CD005595.pub4,8,76.14770459081836,False,0,37.24550898203593
CD010966,10.1002/14651858.CD010966.pub4,8,76.14770459081836,False,0,39.560878243512974
CD016136,10.1002/14651858.CD016136,4,57.48502994011976,False,0,25.02994011976048
CD004376,10.1002/14651858.CD004376.pub4,31,98.60279441117764,False,0,42.14570858283433
CD009252,10.1002/14651858.CD009252.pub2,5,63.57285429141717,False,0,26.76646706586827
CD007859,10.1002/14651858.CD007859.pub5,1,26.34730538922156,False,0,13.992015968063875
CD007310,10.1002/14651858.CD007310.pub3,0,9.68063872255489,False,0,11.497005988023954
CD011197,10.1002/14651858.CD011197.pub3,16,93.21357285429141,False,0,45.578842315369265
CD013508,10.1002/14651858.CD013508.pub3,23,97.1057884231537,False,0,46.18762475049901
CD015083,10.1002/14651858.CD015083.pub2,3,49.101796407185624,False,0,26.097804391217565
CD014792,10.1002/14651858.CD014792.pub2,6,68.76247504990019,False,0,32.75449101796407
CD014967,10.1002/14651858.CD014967.pub2,12,86.42714570858283,False,0,42.19560878243513
CD015673,10.1002/14651858.CD015673.pub2,5,63.57285429141717,False,0,31.3872255489022
CD011866,10.1002/14651858.CD011866.pub3,13,88.32335329341318,False,0,40.57884231536926
CD015350,10.1002/14651858.CD015350.pub2,2,39.12175648702595,False,0,19.10179640718563
CD013396,10.1002/14651858.CD013396.pub2,2,39.12175648702595,False,0,21.60678642714571
CD005566,10.1002/14651858.CD005566.pub4,6,68.76247504990019,False,0,33.46307385229541
CD008858,10.1002/14651858.CD008858.pub5,17,94.61077844311377,False,0,39.880239520958085
CD015215,10.1002/14651858.CD015215.pub2,11,84.83033932135729,False,0,43.802395209580844
CD007024,10.1002/14651858.CD007024.pub3,3,49.101796407185624,False,0,25.59880239520958
CD016031,10.1002/14651858.CD016031,2,39.12175648702595,False,0,24.13173652694611
CD013758,10.1002/14651858.CD013758.pub2,5,63.57285429141717,False,0,34.5309381237525
CD011885,10.1002/14651858.CD011885.pub2,0,9.68063872255489,False,0,13.79241516966068
CD015192,10.1002/14651858.CD015192.pub2,1,26.34730538922156,False,0,13.243512974051898
CD009679,10.1002/14651858.CD009679.pub3,4,57.48502994011976,False,0,29.451097804391217
CD013789,10.1002/14651858.CD013789.pub2,16,93.21357285429141,False,0,45.998003992015974
CD010216,10.1002/14651858.CD010216.pub9,22,96.8063872255489,True,0,66.84630738522955
CD004703,10.1002/14651858.CD004703.pub3,18,95.50898203592814,False,0,40.23952095808383
CD005951,10.1002/14651858.CD005951.pub5,7,73.05389221556887,False,0,35.17964071856288
CD011044,10.1002/14651858.CD011044.pub3,12,86.42714570858283,False,0,39.82035928143712
CD013561,10.1002/14651858.CD013561.pub2,4,57.48502994011976,False,0,26.447105788423155
CD015373,10.1002/14651858.CD015373.pub2,2,39.12175648702595,True,0,44.5309381237525
CD007809,10.1002/14651858.CD007809.pub3,2,39.12175648702595,False,0,24.13173652694611
CD013726,10.1002/14651858.CD013726.pub2,3,49.101796407185624,False,0,23.78243512974052
CD015804,10.1002/14651858.CD015804.pub2,10,82.83433133732535,False,0,39.590818363273456
CD015332,10.1002/14651858.CD015332.pub2,2,39.12175648702595,False,0,25.40918163672655
CD004661,10.1002/14651858.CD004661.pub4,16,93.21357285429141,False,0,46.467065868263475
CD007374,10.1002/14651858.CD007374.pub3,7,73.05389221556887,False,0,37.93413173652695
CD014855,10.1002/14651858.CD014855.pub2,0,9.68063872255489,False,0,6.57684630738523
CD015824,10.1002/14651858.CD015824.pub2,1,26.34730538922156,False,0,15.179640718562876
CD013429,10.1002/14651858.CD013429.pub2,2,39.12175648702595,False,0,20.898203592814372
CD005582,10.1002/14651858.CD005582.pub5,9,79.84031936127745,False,0,33.27345309381238
CD004307,10.1002/14651858.CD004307.pub7,9,79.84031936127745,False,0,32.64471057884232
CD008469,10.1002/14651858.CD008469.pub3,0,9.68063872255489,False,0,6.57684630738523
CD008628,10.1002/14651858.CD008628.pub3,14,90.31936127744511,False,0,42.08582834331338
CD013303,10.1002/14651858.CD013303.pub2,20,96.50698602794411,False,0,47.70459081836328
CD006124,10.1002/14651858.CD006124.pub3,7,73.05389221556887,False,0,32.6746506986028
CD015749,10.1002/14651858.CD015749.pub2,2,39.12175648702595,False,0,19.79041916167665
CD010861,10.1002/14651858.CD010861.pub3,6,68.76247504990019,False,0,35.439121756487026
CD013834,10.1002/14651858.CD013834.pub2,4,57.48502994011976,False,0,24.331337325349303
CD010145,10.1002/14651858.CD010145.pub2,2,39.12175648702595,False,0,24.361277445109785
CD004953,10.1002/14651858.CD004953.pub5,0,9.68063872255489,False,0,10.658682634730539
CD003511,10.1002/14651858.CD003511.pub6,1,26.34730538922156,False,0,15.179640718562876
CD013539,10.1002/14651858.CD013539.pub2,1,26.34730538922156,False,0,16.497005988023954
CD004417,10.1002/14651858.CD004417.pub6,6,68.76247504990019,False,0,30.209580838323348
CD007491,10.1002/14651858.CD007491.pub3,30,98.40319361277446,False,0,40.69860279441118
CD007569,10.1002/14651858.CD007569.pub4,19,96.10778443113772,False,0,38.74251497005988
CD007895,10.1002/14651858.CD007895.pub3,1,26.34730538922156,False,0,11.876247504990022
CD016058,10.1002/14651858.CD016058.pub2,0,9.68063872255489,False,0,8.013972055888225
CD014960,10.1002/14651858.CD014960.pub2,11,84.83033932135729,False,0,38.57285429141717
CD014666,10.1002/14651858.CD014666.pub2,11,84.83033932135729,False,0,35.96806387225549
CD016278,10.1002/14651858.CD016278,3,49.101796407185624,False,0,27.5748502994012
CD011858,10.1002/14651858.CD011858.pub2,9,79.84031936127745,False,0,39.28143712574851
CD013631,10.1002/14651858.CD013631.pub2,34,99.00199600798403,False,0,48.8622754491018
CD001920,10.1002/14651858.CD001920.pub4,13,88.32335329341318,False,0,41.287425149700596
CD008709,10.1002/14651858.CD008709.pub4,12,86.42714570858283,False,0,42.86427145708583
CD014966,10.1002/14651858.CD014966.pub2,2,39.12175648702595,False,0,16.98602794411178
CD003594,10.1002/14651858.CD003594.pub7,3,49.101796407185624,False,0,23.093812375249502
CD016147,10.1002/14651858.CD016147,2,39.12175648702595,False,0,22.105788423153694
CD013613,10.1002/14651858.CD013613.pub2,3,49.101796407185624,False,0,26.986027944111775
CD006982,10.1002/14651858.CD006982.pub5,2,39.12175648702595,True,0,38.35329341317365
CD007156,10.1002/14651858.CD007156.pub3,4,57.48502994011976,False,0,25.69860279441118
CD015532,10.1002/14651858.CD015532,3,49.101796407185624,False,0,27.5748502994012
CD015524,10.1002/14651858.CD015524.pub2,1,26.34730538922156,True,0,40.199600798403196
CD013748,10.1002/14651858.CD013748.pub2,0,9.68063872255489,False,0,7.325349301397207
CD007388,10.1002/14651858.CD007388.pub3,6,68.76247504990019,False,0,35.28942115768463
CD013816,10.1002/14651858.CD013816.pub2,3,49.101796407185624,False,0,27.764471057884233
CD011120,10.1002/14651858.CD011120.pub3,5,63.57285429141717,False,0,26.13772455089821
CD015854,10.1002/14651858.CD015854,0,9.68063872255489,False,0,9.121756487025948
CD014869,10.1002/14651858.CD014869.pub2,0,9.68063872255489,False,0,7.325349301397207
CD014811,10.1002/14651858.CD014811.pub2,6,68.76247504990019,False,0,29.54091816367265
CD015751,10.1002/14651858.CD015751.pub2,3,49.101796407185624,False,0,22.345309381237527
CD011689,10.1002/14651858.CD011689.pub4,1,26.34730538922156,False,0,18.662674650698605
CD012586,10.1002/14651858.CD012586.pub2,4,57.48502994011976,False,0,28.243512974051896
CD014428,10.1002/14651858.CD014428.pub2,1,26.34730538922156,False,0,13.992015968063875
CD014736,10.1002/14651858.CD014736.pub2,0,9.68063872255489,False,0,6.57684630738523
CD013476,10.1002/14651858.CD013476.pub2,1,26.34730538922156,False,0,17.584830339321357
CD014687,10.1002/14651858.CD014687.pub2,3,49.101796407185624,False,0,20.34930139720559
CD014594,10.1002/14651858.CD014594.pub2,0,9.68063872255489,False,0,5.908183632734531
CD014300,10.1002/14651858.CD014300.pub2,8,76.14770459081836,False,0,37.50499001996008
CD014145,10.1002/14651858.CD014145.pub2,2,39.12175648702595,True,0,40.28942115768463
CD000143,10.1002/14651858.CD000143.pub2,3,49.101796407185624,True,0,43.78243512974052
CD013052,10.1002/14651858.CD013052.pub3,1,26.34730538922156,False,0,12.574850299401199
CD012642,10.1002/14651858.CD012642.pub2,9,79.84031936127745,False,0,37.89421157684632
CD015087,10.1002/14651858.CD015087.pub2,4,57.48502994011976,False,0,30.618762475049902
CD015786,10.1002/14651858.CD015786.pub2,1,26.34730538922156,False,0,13.243512974051898
